RUN,TEST,TP,ALPHAC,BETA,PSI,QC,RE_MAC,TEMPTS,CLWA,CDWA,CYWA,CMWA15,CMWA20,CMWA25,CMWA33,CMWA40,CNWA15,CNWA20,CNWA25,CNWA33,CNWA40,CRWA15,CRWA20,CRWA25,CRWA33,CRWA40,CLSA,CDSA,CYSA,CMSA15,CMSA20,CMSA25,CMSA33,CMSA40,CNSA15,CNSA20,CNSA25,CNSA33,CNSA40,CRSA15,CRSA20,CRSA25,CRSA33,CRSA40,CLBA,CDBA,CYBA,CMBA15,CMBA20,CMBA25,CMBA33,CMBA40,CNBA15,CNBA20,CNBA25,CNBA33,CNBA40,CRBA15,CRBA20,CRBA25,CRBA33,CRBA40,CMWA30,CMWA35,CNWA30,CNWA35,CRWA30,CRWA35,CMSA30,CMSA35,CNSA30,CNSA35,CRSA30,CRSA35,CMBA30,CMBA35,CNBA30,CNBA35,CRBA30,CRBA35,LOD
2,2295,3,-10.251,0.01,-0.01,39.982,2408504,81.982,-0.32695,0.0656,-0.00961,0.02952,0.01286,-0.00381,-0.03045,-0.05378,-0.00037,-0.00059,-0.00081,-0.00116,-0.00147,0.00033,0.00036,0.0004,0.00046,0.00051,-0.32695,0.0656,-0.00962,0.02952,0.01286,-0.0038,-0.03045,-0.05378,-0.00037,-0.00059,-0.00081,-0.00116,-0.00147,0.00032,0.00036,0.0004,0.00046,0.00052,-0.33338,0.00757,-0.00962,0.02952,0.01286,-0.0038,-0.03045,-0.05378,-0.00042,-0.00064,-0.00087,-0.00122,-0.00154,0.00025,0.00025,0.00025,0.00025,0.00025,-0.02046,-0.03712,-0.00103,-0.00125,0.00044,0.00048,-0.02046,-0.03712,-0.00103,-0.00125,0.00044,0.00048,-0.02046,-0.03712,-0.00109,-0.00131,0.00025,0.00025,-4.9843
2,2295,4,-9.193,0.01,-0.01,40.452,2422241,82.05,-0.27846,0.05363,-0.0085,0.02398,0.00982,-0.00435,-0.02701,-0.04684,-0.00013,-0.00032,-0.00052,-0.00083,-0.0011,0.0001,0.00013,0.00016,0.0002,0.00025,-0.27846,0.05363,-0.00851,0.02398,0.00982,-0.00435,-0.02701,-0.04684,-0.00013,-0.00032,-0.00052,-0.00083,-0.0011,0.00009,0.00013,0.00016,0.00021,0.00025,-0.28342,0.00934,-0.00851,0.02398,0.00982,-0.00435,-0.02701,-0.04684,-0.00014,-0.00034,-0.00054,-0.00085,-0.00113,0.00007,0.00007,0.00007,0.00007,0.00007,-0.01851,-0.03268,-0.00071,-0.00091,0.00019,0.00022,-0.01851,-0.03268,-0.00071,-0.00091,0.00019,0.00022,-0.01851,-0.03268,-0.00073,-0.00093,0.00007,0.00007,-5.1921
2,2295,5,-8.139,0.01,-0.01,40.383,2419738,82.123,-0.22934,0.04347,-0.00762,0.01737,0.00572,-0.00594,-0.02458,-0.0409,0.00017,0,-0.00018,-0.00046,-0.00071,0.00011,0.00013,0.00016,0.00019,0.00023,-0.22934,0.04347,-0.00763,0.01737,0.00572,-0.00594,-0.02458,-0.0409,0.00017,0,-0.00018,-0.00046,-0.00071,0.00011,0.00013,0.00016,0.0002,0.00023,-0.23316,0.01118,-0.00763,0.01737,0.00572,-0.00594,-0.02458,-0.0409,0.00016,-0.00002,-0.0002,-0.00048,-0.00073,0.00013,0.00013,0.00013,0.00013,0.00013,-0.01759,-0.02924,-0.00036,-0.00053,0.00018,0.0002,-0.01759,-0.02924,-0.00036,-0.00053,0.00018,0.00021,-0.01759,-0.02924,-0.00038,-0.00056,0.00013,0.00013,-5.2756
2,2295,6,-7.089,0.01,-0.01,40.56,2424715,82.18,-0.1808,0.03529,-0.0076,0.00957,0.00039,-0.0088,-0.02349,-0.03636,0.00021,0.00004,-0.00014,-0.00042,-0.00067,0.00029,0.00031,0.00033,0.00036,0.00039,-0.1808,0.03529,-0.0076,0.00957,0.00039,-0.0088,-0.02349,-0.03636,0.00021,0.00004,-0.00014,-0.00042,-0.00067,0.00029,0.00031,0.00033,0.00037,0.0004,-0.18375,0.0131,-0.0076,0.00957,0.00039,-0.0088,-0.02349,-0.03636,0.00017,0,-0.00018,-0.00046,-0.00071,0.00031,0.00031,0.00031,0.00031,0.00031,-0.01799,-0.02717,-0.00032,-0.00049,0.00035,0.00037,-0.01798,-0.02717,-0.00032,-0.00049,0.00035,0.00037,-0.01798,-0.02717,-0.00036,-0.00053,0.00031,0.00031,-5.1236
2,2295,7,-6.086,0.01,-0.01,40.2,2413573,82.246,-0.13384,0.02902,-0.00746,0.00196,-0.00484,-0.01165,-0.02254,-0.03207,0.00024,0.00007,-0.00011,-0.00038,-0.00063,0.00006,0.00008,0.0001,0.00012,0.00015,-0.13384,0.02902,-0.00746,0.00196,-0.00484,-0.01165,-0.02254,-0.03207,0.00024,0.00007,-0.00011,-0.00038,-0.00063,0.00006,0.00008,0.0001,0.00013,0.00015,-0.13613,0.0149,-0.00746,0.00196,-0.00484,-0.01165,-0.02254,-0.03207,0.00023,0.00006,-0.00012,-0.00039,-0.00064,0.00008,0.00008,0.00008,0.00008,0.00008,-0.01846,-0.02526,-0.00028,-0.00045,0.00011,0.00013,-0.01846,-0.02526,-0.00028,-0.00045,0.00011,0.00013,-0.01846,-0.02526,-0.00029,-0.00046,0.00008,0.00008,-4.6122
2,2295,8,-5.071,0.01,-0.01,40.219,2413811,82.301,-0.08655,0.02427,-0.00718,-0.00714,-0.01155,-0.01597,-0.02303,-0.02922,0.00026,0.00009,-0.00007,-0.00034,-0.00057,0.00003,0.00004,0.00006,0.00008,0.0001,-0.08655,0.02427,-0.00719,-0.00714,-0.01155,-0.01597,-0.02303,-0.02922,0.00026,0.00009,-0.00007,-0.00034,-0.00057,0.00003,0.00004,0.00006,0.00008,0.0001,-0.08834,0.01663,-0.00719,-0.00714,-0.01155,-0.01597,-0.02303,-0.02922,0.00026,0.00009,-0.00008,-0.00035,-0.00058,0.00005,0.00005,0.00005,0.00005,0.00005,-0.02039,-0.0248,-0.00024,-0.00041,0.00007,0.00009,-0.02039,-0.0248,-0.00024,-0.00041,0.00007,0.00009,-0.02039,-0.0248,-0.00025,-0.00041,0.00005,0.00005,-3.5664
2,2295,9,-4.083,0.01,-0.01,40.354,2417549,82.356,-0.04263,0.0212,-0.00675,-0.01555,-0.01775,-0.01995,-0.02347,-0.02655,0.00028,0.00012,-0.00004,-0.00029,-0.00051,-0.00001,0.00001,0.00002,0.00003,0.00005,-0.04263,0.0212,-0.00675,-0.01555,-0.01775,-0.01995,-0.02347,-0.02655,0.00028,0.00012,-0.00004,-0.00029,-0.00051,0,0.00001,0.00002,0.00004,0.00005,-0.04402,0.01815,-0.00675,-0.01555,-0.01775,-0.01995,-0.02347,-0.02655,0.00028,0.00012,-0.00004,-0.00029,-0.00051,0.00002,0.00002,0.00002,0.00002,0.00002,-0.02215,-0.02435,-0.00019,-0.00035,0.00003,0.00004,-0.02215,-0.02435,-0.00019,-0.00035,0.00003,0.00004,-0.02215,-0.02435,-0.00019,-0.00035,0.00002,0.00002,-2.0106
2,2295,10,-3.011,0.01,-0.01,40.212,2412965,82.414,0.0016,0.02,-0.00588,-0.02363,-0.02361,-0.02358,-0.02353,-0.02349,0.00038,0.00024,0.00011,-0.00011,-0.00031,0.00022,0.00023,0.00023,0.00024,0.00025,0.0016,0.02,-0.00588,-0.02363,-0.02361,-0.02358,-0.02353,-0.02349,0.00038,0.00024,0.00011,-0.00011,-0.00031,0.00022,0.00023,0.00024,0.00025,0.00026,0.00055,0.02006,-0.00588,-0.02363,-0.02361,-0.02358,-0.02353,-0.02349,0.00037,0.00023,0.00009,-0.00013,-0.00032,0.00024,0.00024,0.00024,0.00024,0.00024,-0.02355,-0.02352,-0.00003,-0.00017,0.00024,0.00025,-0.02355,-0.02352,-0.00003,-0.00017,0.00024,0.00025,-0.02355,-0.02352,-0.00004,-0.00018,0.00024,0.00024,0.07995
2,2295,11,-1.946,0.01,-0.01,40.164,2411223,82.469,0.0448,0.01982,-0.00562,-0.03231,-0.0301,-0.0279,-0.02437,-0.02128,0.00044,0.00031,0.00018,-0.00003,-0.00022,0.00016,0.00017,0.00017,0.00018,0.00019,0.0448,0.01982,-0.00562,-0.03231,-0.0301,-0.0279,-0.02437,-0.02128,0.00044,0.00031,0.00018,-0.00003,-0.00022,0.00017,0.00017,0.00017,0.00018,0.00019,0.0441,0.02133,-0.00562,-0.03231,-0.0301,-0.0279,-0.02437,-0.02128,0.00043,0.0003,0.00017,-0.00004,-0.00022,0.00018,0.00018,0.00018,0.00018,0.00018,-0.02569,-0.02349,0.00005,-0.00008,0.00018,0.00018,-0.02569,-0.02349,0.00005,-0.00008,0.00018,0.00018,-0.02569,-0.02349,0.00004,-0.00009,0.00018,0.00018,2.2603
2,2295,12,-1.006,0.01,-0.01,40.083,2408506,82.518,0.08144,0.02032,-0.00497,-0.03973,-0.03568,-0.03163,-0.02514,-0.01947,0.00035,0.00024,0.00012,-0.00006,-0.00022,-0.00004,-0.00004,-0.00004,-0.00003,-0.00003,0.08144,0.02032,-0.00497,-0.03973,-0.03568,-0.03163,-0.02514,-0.01947,0.00035,0.00024,0.00012,-0.00006,-0.00022,-0.00004,-0.00004,-0.00004,-0.00003,-0.00003,0.08106,0.02178,-0.00497,-0.03973,-0.03568,-0.03163,-0.02514,-0.01947,0.00036,0.00024,0.00012,-0.00006,-0.00022,-0.00003,-0.00003,-0.00003,-0.00003,-0.00003,-0.02757,-0.02352,0.00001,-0.00011,-0.00004,-0.00003,-0.02757,-0.02352,0.00001,-0.00011,-0.00003,-0.00003,-0.02757,-0.02352,0.00001,-0.00011,-0.00003,-0.00003,4.008
